run_id,fire_id,fire_time_utc,fire_epoch,signal_symbol,signal_mint,control_symbol,control_mint,signal_net_5m,control_net_5m,delta_5m,signal_entry_quote_ok,control_entry_quote_ok,signal_fwd_quote_ok_5m,control_fwd_quote_ok_5m,signal_entry_ts_epoch,control_entry_ts_epoch,signal_fwd_due_epoch_5m,control_fwd_due_epoch_5m,signal_fwd_ts_epoch_5m,control_fwd_ts_epoch_5m,signal_entry_jitter_sec,control_entry_jitter_sec,signal_fwd_jitter_5m_sec,control_fwd_jitter_5m_sec,signal_row_valid,control_row_valid,invalid_reason_signal,invalid_reason_control,outlier_flag
1677a7da,e7d34aff,2026-03-07T01:15:00+00:00,1772846100,CLARITY,3oaRkLHm94Y2fisjNPwkcHV7iUjTMdh5cSQyGarUpump,MEME,HHYJWYJQCmnQ1ubjzjntURGduf7QztBpQmG7h2P1pump,-0.0049383,-0.0285187,0.0235803999999999,1,1,1,1,1772846887,1772846887,1772846400,1772846400,1772846898,1772846899,787,787,498,499,1,1,,,0
1677a7da,fecebc02,2026-03-07T01:30:00+00:00,1772847000,shitcoin,9yWFUKC2TNzZs6e1PzGg4kLx9yYrqiTfoT1qcsNNpump,AICOIN,217dt9idH1Q9UXT8rjpknnyFggizXUVD2r5EZNjopump,-0.0655541,0.0392106000000001,-0.1047647,1,1,1,1,1772847010,1772847010,1772847300,1772847300,1772847302,1772847303,10,10,2,3,1,1,,,1
1677a7da,b0896652,2026-03-07T01:45:00+00:00,1772847900,Peace ,atVjZ7uM8sVrLFi5Xe1JiLGW6mW9pvQdTCWzhNFpump,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,0.0085196999999999,-0.0156418,0.0241614999999999,1,1,1,1,1772847906,1772847906,1772848200,1772848200,1772848207,1772848208,6,6,7,8,1,1,,,0
1677a7da,69335eb8,2026-03-07T02:00:00+00:00,1772848800,AICOIN,217dt9idH1Q9UXT8rjpknnyFggizXUVD2r5EZNjopump,E=MC²,E9SmMCvtLfitMwkLzkduwgN8ZYcfepiELLQ8d1SApump,-0.0727305,-0.0618686,-0.0108619,1,1,1,1,1772848812,1772848813,1772849100,1772849100,1772849104,1772849106,12,13,4,6,1,1,,,0
1677a7da,2e252c84,2026-03-07T02:15:00+00:00,1772849700,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,DELULU,6RxB1KdzVMXrrYn7nQWvaGgh5e2EpbA1FcEFtq74pump,-0.0576941,-0.0481789,-0.0095151999999999,1,1,1,1,1772849709,1772849709,1772850000,1772850000,1772850001,1772850001,9,9,1,1,1,1,,,0
1677a7da,9bb0ab24,2026-03-07T02:30:00+00:00,1772850600,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,BRAINLET,9jCJEc8JYAQHrWc1NVnKW21vY96eHoY9ZJmbzCsupump,0.0583511000000001,-0.038697,0.0970481000000001,1,1,1,1,1772850604,1772850604,1772850900,1772850900,1772850906,1772850906,4,4,6,6,1,1,,,0
1677a7da,ab27d44e,2026-03-07T02:45:00+00:00,1772851500,Machi,ATBR4i19gcQ31Rfr7ymA2XvkCQEAkNFGBtVKTmdqpump,MEME,HHYJWYJQCmnQ1ubjzjntURGduf7QztBpQmG7h2P1pump,-0.0062367,0.0398088999999999,-0.0460456,1,1,1,1,1772851509,1772851509,1772851800,1772851800,1772851801,1772851801,9,9,1,1,1,1,,,0
1677a7da,2d14465b,2026-03-07T03:00:00+00:00,1772852400,BRAINLET,9jCJEc8JYAQHrWc1NVnKW21vY96eHoY9ZJmbzCsupump,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,-0.0534671,0.0533745999999999,-0.1068417,1,1,1,1,1772852404,1772852405,1772852700,1772852700,1772852706,1772852707,4,5,6,7,1,1,,,1
1677a7da,dc51e92c,2026-03-07T03:15:00+00:00,1772853300,CLARITY,3oaRkLHm94Y2fisjNPwkcHV7iUjTMdh5cSQyGarUpump,DELULU,6RxB1KdzVMXrrYn7nQWvaGgh5e2EpbA1FcEFtq74pump,-0.2461699,-0.0487553,-0.1974146,1,1,1,1,1772853310,1772853310,1772853600,1772853600,1772853601,1772853602,10,10,1,2,1,1,,,1
1677a7da,9dc773ef,2026-03-07T03:30:00+00:00,1772854200,AICOIN,217dt9idH1Q9UXT8rjpknnyFggizXUVD2r5EZNjopump,MEME,HHYJWYJQCmnQ1ubjzjntURGduf7QztBpQmG7h2P1pump,-0.0130928,-0.0356377,0.0225449,1,1,1,1,1772854205,1772854205,1772854500,1772854500,1772854507,1772854507,5,5,7,7,1,1,,,0
1677a7da,dfbf087f,2026-03-07T03:45:00+00:00,1772855100,AICOIN,217dt9idH1Q9UXT8rjpknnyFggizXUVD2r5EZNjopump,𝕏Money,EnTu4xYmd49b6drs6FwTodxcJW1sHFurbvueyk9Kpump,0.1642236,-0.0470566,0.2112802,1,1,1,1,1772855110,1772855111,1772855400,1772855400,1772855402,1772855403,10,11,2,3,1,1,,,1
1677a7da,768547e6,2026-03-07T04:00:00+00:00,1772856000,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,BRAINLET,9jCJEc8JYAQHrWc1NVnKW21vY96eHoY9ZJmbzCsupump,0.2317816,0.0766453,0.1551363,1,1,1,1,1772856007,1772856007,1772856300,1772856300,1772856309,1772856309,7,7,9,9,1,1,,,1
1677a7da,02ea66fd,2026-03-07T04:15:00+00:00,1772856900,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,BRAINLET,9jCJEc8JYAQHrWc1NVnKW21vY96eHoY9ZJmbzCsupump,0.0413762,-0.0355579,0.0769341,1,1,1,1,1772856902,1772856902,1772857200,1772857200,1772857203,1772857204,2,2,3,4,1,1,,,0
