cid,entry_date,entry_price,exit_date,exit_price,exit_type,gross_return,hold_days,es,recon_date
WIF-USD,2025-04-01,0.42281800508499146,2025-04-02,0.393220744729042,SL,-0.07000000000000012,1,E4,2025-03-31
RAY-USD,2025-04-01,1.8028990030288696,2025-04-02,1.6766960728168487,SL,-0.07,1,E4,2025-03-31
RENDER-USD,2025-04-01,3.697377920150757,2025-04-02,3.4385614657402037,SL,-0.07000000000000003,1,E4,2025-03-31
FARTCOIN-USD,2025-04-01,0.5233420133590698,2025-04-02,0.4867080724239349,SL,-0.0700000000000001,1,E4,2025-03-31
ORCA-USD,2025-04-01,2.1625800132751465,2025-04-05,2.0111994123458863,SL,-0.06999999999999998,4,E4,2025-03-31
MNDE-USD,2025-04-01,0.10533600300550461,2025-04-02,0.09796248279511928,SL,-0.07000000000000006,1,E4,2025-03-31
MSOL-USD,2025-04-01,162.14886474609375,2025-04-02,150.79844421386719,SL,-0.07000000000000002,1,E4,2025-03-31
JITOSOL-USD,2025-04-01,150.94700622558594,2025-04-02,140.38071578979492,SL,-0.07000000000000002,1,E4,2025-03-31
FIDA-USD,2025-04-01,0.09654299914836884,2025-04-02,0.08978498920798302,SL,-0.07000000000000002,1,E4,2025-03-31
MEDIA-USD,2025-04-01,6.664050102233887,2025-04-02,6.1975665950775145,SL_FIRST,-0.07000000000000002,1,E4,2025-03-31
GALA-USD,2025-04-01,0.01587199978530407,2025-04-02,0.014760959800332783,SL,-0.07000000000000009,1,E4,2025-03-31
PONKE-USD,2025-04-01,0.09103299677371979,2025-04-02,0.08466068699955939,SL,-0.0700000000000001,1,E4,2025-03-31
SLERF-USD,2025-04-01,0.059971000999212265,2025-04-02,0.0557730309292674,SL,-0.0700000000000001,1,E4,2025-03-31
KMNO-USD,2025-04-01,0.04985100030899048,2025-04-02,0.046361430287361144,SL,-0.07000000000000002,1,E4,2025-03-31
PYUSD-USD,2025-04-01,0.9995430111885071,2025-05-31,0.9993979930877686,MAXHOLD,-0.0001450844026872756,60,E4,2025-03-31
HNT-USD,2025-04-01,3.0582869052886963,2025-04-02,2.8442068219184873,SL,-0.07000000000000009,1,E4,2025-03-31
ZETA-USD,2025-04-01,0.270018994808197,2025-04-02,0.2511176651716232,SL,-0.07000000000000009,1,E4,2025-03-31
STSOL-USD,2025-04-01,153.5646514892578,2025-04-02,142.81512588500976,SL,-0.07000000000000002,1,E4,2025-03-31
BSOL-USD,2025-04-01,152.6893768310547,2025-04-02,142.00112045288085,SL,-0.07000000000000003,1,E4,2025-03-31
CHILLGUY-USD,2025-04-01,0.02488899976015091,2025-04-02,0.023146769776940343,SL,-0.07000000000000012,1,E4,2025-03-31
ZEREBRO-USD,2025-04-01,0.029461000114679337,2025-04-02,0.02739873010665178,SL,-0.07000000000000008,1,E4,2025-03-31
WIF-USD,2025-05-01,0.6158409714698792,2025-05-02,0.5727321034669876,SL,-0.07000000000000009,1,E4,2025-04-30
RAY-USD,2025-05-01,2.8873538970947266,2025-05-02,2.6852391242980955,SL,-0.07000000000000006,1,E4,2025-04-30
RENDER-USD,2025-05-01,4.626389026641846,2025-05-03,4.302541794776916,SL,-0.0700000000000001,2,E4,2025-04-30
FARTCOIN-USD,2025-05-01,1.1959760189056396,2025-05-02,1.112257697582245,SL,-0.06999999999999997,1,E4,2025-04-30
ORCA-USD,2025-05-01,2.9263219833374023,2025-05-02,2.721479444503784,SL,-0.07000000000000006,1,E4,2025-04-30
MSOL-USD,2025-05-01,194.32875061035156,2025-05-11,225.0773468017578,TP,0.15822978378047745,10,E4,2025-04-30
JITOSOL-USD,2025-05-01,180.58135986328125,2025-05-12,216.6976318359375,TP,0.2,11,E4,2025-04-30
FIDA-USD,2025-05-01,0.08475500345230103,2025-05-02,0.07882215321063994,SL,-0.07000000000000013,1,E4,2025-04-30
MEDIA-USD,2025-05-01,0.6316140294075012,2025-05-02,0.5874010473489761,SL,-0.07,1,E4,2025-04-30
GALA-USD,2025-05-01,0.017148999497294426,2025-05-02,0.015948569532483817,SL,-0.06999999999999997,1,E4,2025-04-30
PONKE-USD,2025-05-01,0.12027899920940399,2025-05-02,0.1118594692647457,SL,-0.0700000000000001,1,E4,2025-04-30
MYRO-USD,2025-05-01,0.025960000231862068,2025-05-02,0.024142800215631723,SL,-0.07,1,E4,2025-04-30
SLERF-USD,2025-05-01,0.07180000096559525,2025-05-03,0.06677400089800357,SL,-0.07000000000000005,2,E4,2025-04-30
KMNO-USD,2025-05-01,0.07352100312709808,2025-05-05,0.0810139998793602,TP,0.10191641073379719,4,E4,2025-04-30
PYUSD-USD,2025-05-01,0.9997109770774841,2025-06-30,0.9995570182800293,MAXHOLD,-0.0001540033079409722,60,E4,2025-04-30
HNT-USD,2025-05-01,3.8230509757995605,2025-05-29,3.5554374074935913,SL,-0.07,28,E4,2025-04-30
IOTX-USD,2025-05-01,0.01913299970328808,2025-05-02,0.017793689724057912,SL,-0.07000000000000003,1,E4,2025-04-30
ZETA-USD,2025-05-01,0.27447399497032166,2025-05-03,0.25526081532239914,SL,-0.07,2,E4,2025-04-30
STSOL-USD,2025-05-01,182.51187133789062,2025-05-11,211.5464630126953,TP,0.15908330489391526,10,E4,2025-04-30
BSOL-USD,2025-05-01,182.96095275878906,2025-05-11,211.8874053955078,TP,0.15810178183131035,10,E4,2025-04-30
CHILLGUY-USD,2025-05-01,0.045788999646902084,2025-05-03,0.042583769671618935,SL,-0.07000000000000009,2,E4,2025-04-30
ZEREBRO-USD,2025-05-01,0.05099000036716461,2025-05-02,0.04742070034146308,SL,-0.07000000000000012,1,E4,2025-04-30
WIF-USD,2025-06-01,0.8729349970817566,2025-06-04,0.8118295472860336,SL,-0.07,3,E4,2025-05-31
